Tue Mar 15 2022 17:06:28 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getAllSP | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:09:07 GMT+0800 (Malaysia Time) | ERROR | standardparts-api.log | API: /getSPBySection | data:{"message":"API Error: QueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'M' in 'where clause'","status":false} | 
Tue Mar 15 2022 17:10:15 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPBySection | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:19:56 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPBySection | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:21:07 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPBySection | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:21:24 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPBySection | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:25:38 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPByUserID | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:25:45 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPByUserID | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:25:51 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPByUserID | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:25:55 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPByUserID | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:25:59 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPByUserID | data:{"message":"API Done","status":true} | 
Tue Mar 15 2022 17:26:03 GMT+0800 (Malaysia Time) | INFO | standardparts-api.log | API: /getSPByUserID | data:{"message":"API Done","status":true} | 
